Título;Resumen;Páginas
Los relatos del tiempo;;0
El centroforward murió al amanecer;;0
Siete fantásticos latinoamericanos;;0
Del terror al horror;;0
Las aventuras de Gilgamesh;;104
Las Mil y una noches;;112
Cuentos policiales para chicos curiosos;;104
Cuentos populares de pícaros y necios;;96
Antiguas leyendas de héroes y princesas;;96
La isla misteriosa;;208
Príncipe y mendigo;;160
Cuentos fantásticos que dan miedo;"Cuentos fantásticos que dan miedo incluye cinco cuentos en los que el género fantástico y el de terror se unen en historias de casas hechizadas, cementerios y aparecidos. Escritos por verdaderos maestros del terror, “La Cosa” de Fitz James O’ Brien, “El miedo” de Guy de Maupassant, “El guardavías” de Charles Dickens, “El dedo medio del pie derecho” de Ambrose Bierce, “La habitación número 13” de Montague Rhodes James y “En la cripta” de Howard Phillips Lovecraft atrapan a los lectores en versiones especialmente dirigidas a niños y adolescentes e ilustradas por Fernando Baldó. 
El libro propone actividades para el aula o el hogar que apuntan a una comprensión profunda de los textos y a la adquisición de conceptos literarios básicos siguiendo un planteo constructivista del aprendizaje.";108
Cu Chulain el valiente;"Cu Chulaín, el valiente es la única versión en español dirigida a niños y adolescentes de una antigua leyenda celta, quizás la más representativa del pueblo irlandés. Un glorioso héroe épico protagoniza aventuras fabulosas en las que se unen el espíritu caballeresco, la valentía, el amor y la amistad, en un mundo en el que la intervención de lo mágico y lo divino es natural. Con estos componentes, esta versión de la leyenda, ilustrada por Cristian Bernardini y basada en relatos épicos medievales y en una versión inglesa del siglo XIX, acerca los valores del mundo antiguo a los jóvenes lectores. 
El libro propone actividades para el aula o el hogar que apuntan a una comprensión profunda del texto y a la adquisición de conceptos literarios básicos siguiendo un planteo constructivista del aprendizaje.";116
La cabeza del dragón;"La cabeza del Dragón es una obra de teatro escrita para el público infantil por el célebre autor español, Ramón del Valle-Inclán. Por este motivo y respetando su calidad literaria, esta versión solo presenta cambios léxicos para facilitar su lectura a los niños latinoamericanos.
La obra es una farsa en la que, mediante la parodia del mundo de los cuentos infantiles y sus personajes y conflictos arquetípicos se critican, con una estética moderna y novedosa, valores sociales.
El libro, ilustrado por Gerardo Baró, propone actividades para el aula o el hogar que apuntan a una comprensión profunda del texto y a la adquisición de conceptos literarios básicos siguiendo un planteo constructivista del aprendizaje. Incluye también propuestas para su representación por parte de los chicos en versión actoral y como teatro de títeres.";112
Cuentos que encantan;;108
Peligro en alta mar;;136
El viento en los sauces;;0
Cuentos con-ciencia;;0
Cuentos que parecen ciertos;;104
Cuentos que encierran misterios;;0
Dicen que los dioses… Mitos griegos 1;;0
La vida de un bribón;;0
20.000 leguas de viaje submarino;;176
Los hijos del capitán Grant;;208
¿Cuentos que asustan?;;0
El castillo encantado;;264
La Lluvia y los cinco;;0
El mago de Oz;;0
La flecha Negra;;0
La vuelta a la manzana;;0
Peter Pan;;0
El mundo perdido;;0
